fedfeedchannelid,feduserid,fedfeedchannelname,fedfeedchanneldesc,fedfeedchannelurl,fedfeedchanneltitleselector,fedfeedchannellinkselector,fedfeedchanneldescriptionselector,fedfeedchannelancestorselector,fedfeedchannelisactive,fedfeedchanneliscustom,fedfeedchannelimagelinkselector
1,superuser,webspace,DIV.author,http://webspace.apiit.edu.my/,DIV.subject,A,DIV.author,DIV.topic.firstpost.starter,t,t,IMG
2,superuser,webspace,DIV.author,http://webspace.apiit.edu.my/,DIV.subject,A,DIV.author,DIV.topic.firstpost.starter,t,t,IMG
